model,alpha,hr,LIR
PGPR,0.0000,0.5113,0.4655
PGPR,0.0500,0.5144,0.7916
PGPR,0.1000,0.5180,0.8460
PGPR,0.1500,0.5151,0.8822
PGPR,0.2000,0.5071,0.9045
PGPR,0.2500,0.5023,0.9190
PGPR,0.3000,0.5000,0.9292
PGPR,0.3500,0.5007,0.9369
PGPR,0.4000,0.5002,0.9425
PGPR,0.4500,0.4942,0.9472
PGPR,0.5000,0.4887,0.9509
PGPR,0.5500,0.4859,0.9539
PGPR,0.6000,0.4826,0.9562
PGPR,0.6500,0.4805,0.9581
PGPR,0.7000,0.4767,0.9596
PGPR,0.7500,0.4755,0.9608
PGPR,0.8000,0.4733,0.9616
PGPR,0.8500,0.4709,0.9622
PGPR,0.9000,0.4672,0.9625
PGPR,0.9500,0.4632,0.9626
PGPR,1.0000,0.3495,0.9627
UCPR,0.0000,0.4419,0.4568
UCPR,0.0500,0.4409,0.6711
UCPR,0.1000,0.4411,0.6863
UCPR,0.1500,0.4406,0.6985
UCPR,0.2000,0.4384,0.7075
UCPR,0.2500,0.4364,0.7145
UCPR,0.3000,0.4338,0.7198
UCPR,0.3500,0.4344,0.7238
UCPR,0.4000,0.4336,0.7266
UCPR,0.4500,0.4315,0.7288
UCPR,0.5000,0.4298,0.7305
UCPR,0.5500,0.4285,0.7317
UCPR,0.6000,0.4276,0.7325
UCPR,0.6500,0.4272,0.7331
UCPR,0.7000,0.4263,0.7335
UCPR,0.7500,0.4260,0.7338
UCPR,0.8000,0.4260,0.7340
UCPR,0.8500,0.4250,0.7341
UCPR,0.9000,0.4245,0.7341
UCPR,0.9500,0.4242,0.7342
UCPR,1.0000,0.4233,0.7342
CAFE,0.0000,0.5543,0.3949
CAFE,0.0500,0.5439,0.4897
CAFE,0.1000,0.5179,0.5911
CAFE,0.1500,0.5038,0.6447
CAFE,0.2000,0.4894,0.6696
CAFE,0.2500,0.4796,0.6818
CAFE,0.3000,0.4692,0.6883
CAFE,0.3500,0.4662,0.6921
CAFE,0.4000,0.4618,0.6944
CAFE,0.4500,0.4593,0.6959
CAFE,0.5000,0.4561,0.6969
CAFE,0.5500,0.4531,0.6976
CAFE,0.6000,0.4522,0.6980
CAFE,0.6500,0.4507,0.6982
CAFE,0.7000,0.4502,0.6984
CAFE,0.7500,0.4498,0.6985
CAFE,0.8000,0.4505,0.6985
CAFE,0.8500,0.4503,0.6985
CAFE,0.9000,0.4507,0.6986
CAFE,0.9500,0.4503,0.6986
CAFE,1.0000,0.3389,0.6986
TPRec,0.0000,0.4745,0.4502
TPRec,0.0500,0.4828,0.7761
TPRec,0.1000,0.4924,0.8255
TPRec,0.1500,0.5010,0.8577
TPRec,0.2000,0.5065,0.8795
TPRec,0.2500,0.5094,0.8949
TPRec,0.3000,0.5116,0.9064
TPRec,0.3500,0.5121,0.9152
TPRec,0.4000,0.5103,0.9218
TPRec,0.4500,0.5109,0.9270
TPRec,0.5000,0.5099,0.9312
TPRec,0.5500,0.5078,0.9345
TPRec,0.6000,0.5055,0.9374
TPRec,0.6500,0.4990,0.9395
TPRec,0.7000,0.4950,0.9413
TPRec,0.7500,0.4911,0.9427
TPRec,0.8000,0.4879,0.9437
TPRec,0.8500,0.4851,0.9444
TPRec,0.9000,0.4823,0.9448
TPRec,0.9500,0.4793,0.9450
TPRec,1.0000,0.4250,0.9451
KGGLM,0.0000,0.1689,0.3161
KGGLM,0.0500,0.1689,0.3161
KGGLM,0.1000,0.1689,0.3161
KGGLM,0.1500,0.1689,0.3161
KGGLM,0.2000,0.1689,0.3161
KGGLM,0.2500,0.1689,0.3161
KGGLM,0.3000,0.1689,0.3161
KGGLM,0.3500,0.1689,0.3161
KGGLM,0.4000,0.1689,0.3161
KGGLM,0.4500,0.1689,0.3161
KGGLM,0.5000,0.1689,0.3161
KGGLM,0.5500,0.1689,0.3161
KGGLM,0.6000,0.1689,0.3161
KGGLM,0.6500,0.1689,0.3161
KGGLM,0.7000,0.1689,0.3161
KGGLM,0.7500,0.1689,0.3161
KGGLM,0.8000,0.1689,0.3161
KGGLM,0.8500,0.1689,0.3161
KGGLM,0.9000,0.1689,0.3161
KGGLM,0.9500,0.1689,0.3161
KGGLM,1.0000,0.1689,0.3161
PEARLM,0.0000,0.2147,0.4225
PEARLM,0.0500,0.2152,0.4255
PEARLM,0.1000,0.2159,0.4263
PEARLM,0.1500,0.2159,0.4265
PEARLM,0.2000,0.2157,0.4266
PEARLM,0.2500,0.2159,0.4267
PEARLM,0.3000,0.2161,0.4268
PEARLM,0.3500,0.2162,0.4268
PEARLM,0.4000,0.2162,0.4270
PEARLM,0.4500,0.2162,0.4270
PEARLM,0.5000,0.2162,0.4271
PEARLM,0.5500,0.2162,0.4271
PEARLM,0.6000,0.2162,0.4271
PEARLM,0.6500,0.2162,0.4271
PEARLM,0.7000,0.2162,0.4272
PEARLM,0.7500,0.2162,0.4272
PEARLM,0.8000,0.2164,0.4272
PEARLM,0.8500,0.2164,0.4272
PEARLM,0.9000,0.2164,0.4272
PEARLM,0.9500,0.2164,0.4272
PEARLM,1.0000,0.2164,0.4272
